scenario,q2_frozen_profit_yuan,q3_final_profit_yuan
92,70620393.3725976,70578330.7215703
93,69996505.5220934,69926304.7244387
94,71807327.7519822,71744349.1246854
95,70738433.8293913,70649943.4926366
96,69043688.1678376,68969110.4580071
97,70347930.3754767,70263746.6815858
98,68504886.2470666,68431378.3720292
99,68887091.7011032,68783122.6735496
100,67309852.8814342,67227654.0935292
101,68272971.9050156,68222881.7949168
102,68328215.2841714,68231147.7300661
103,68870071.6095677,68788421.7473258
104,69372367.5827,69288058.3668728
105,70614448.8679687,70523589.3776682
106,69128922.3988399,69012474.6523708
107,72318188.2166134,72254836.85433
108,70031962.4967603,69966620.4491054
109,69193132.2682642,69119133.6528453
110,69540169.7380542,69455945.6985162
111,71102832.1360064,71045436.4552045
112,70558481.8464127,70509592.1036099
113,69251142.3453191,69214640.1631794
114,67727776.4441057,67634238.2147708
115,67308749.3083517,67228957.37096
116,69833935.0821007,69767263.3167314
117,71008925.0055618,70899735.6829535
118,70374674.3302845,70337658.8458763
119,70653768.4622203,70609883.6021998
120,69025745.3396548,68960544.546307
121,71478079.6632809,71414196.3368249
122,69207565.2206648,69102692.8080513
123,68983650.7007738,68874888.6346348
124,66938175.1961763,66847184.0781191
125,68426754.5496252,68352225.4033497
126,69045475.2016274,69011946.0475681
127,69288942.3313928,69219335.6503948
128,69647945.9959783,69619339.5126016
129,69815103.3458875,69743183.5232472
130,69255573.307427,69209334.4860027
131,72193847.6096041,72098455.3434498
132,68825563.2088769,68745756.2748573
133,69825197.4932649,69722949.3626799
134,70885711.4872171,70816120.6929953
135,69317716.4521568,69250246.2848531
136,69223090.5136834,69157677.5963148
137,69123991.0561803,69011090.8622967
138,71385985.8233236,71323708.3449942
139,70374697.0798817,70318587.9278439
140,70820446.585748,70715522.6485919
141,69457635.8392009,69417092.0116004
142,67902832.4600126,67843175.454174
143,71076192.2098501,71033965.4066077
144,70442823.4006493,70369562.611932
145,71695724.4796948,71587828.333749
146,68861977.1532268,68781591.0477311
147,70601150.8346682,70514097.8453581
148,69746643.0606243,69671169.2142816
149,69689538.8926749,69603782.9045109
150,69585253.5759163,69494625.9191909
151,68630528.6919394,68536543.838609
152,71319477.1371841,71283727.0031537
153,70161865.2076946,70079559.4935461
154,70081348.25652,70003743.3182002
155,71755139.2127949,71703789.6350256
156,72221073.7277089,72160985.097569
157,68818308.04815,68777916.2348881
158,68879762.9744456,68801312.2896557
159,70471114.5490263,70417431.9172352
160,70230919.8969663,70136841.9158715
161,70625198.7975249,70555351.059041
162,70159914.7191118,70079263.7838206
163,67390271.8639516,67327825.8629896
164,69291588.3729888,69208519.9524179
165,70340274.3267588,70239067.0621957
166,68527279.3500343,68470208.2928466
167,68135675.7904383,68052876.2181825
168,70390278.9225977,70287876.9788325
169,70121187.7565826,70059590.7421468
170,70270541.0889066,70188928.4562163
171,69347269.4036094,69272388.7772513
172,69817886.6056231,69753715.1697291
173,73138181.166671,73107103.5925533
174,70792304.5442262,70709503.0938592
175,72037270.5905548,71996003.2710248
176,68380571.0168417,68264066.3787301
177,70323521.2501831,70227901.2981292
178,72145038.2122571,72091637.6691785
179,69913807.6545405,69893267.6288461
180,69833730.5244513,69812832.3338996
181,68791455.774587,68754032.2802998
182,68798114.7931276,68727273.3836376
183,70771386.6139302,70703985.8542319
184,70500818.7993527,70416058.1330165
185,72007793.9187277,71916849.5024428
186,71031934.7304889,70959943.801317
187,68186172.2612253,68091721.1459693
188,70248224.8115683,70169750.1645134
189,67977252.1996343,67870295.3676647
190,69839433.7466547,69787722.9328257
191,71521683.427178,71465733.5293549
192,68611818.0139159,68544221.4542556
193,69544616.488099,69469646.5214587
194,67976987.0370116,67901558.9199189
195,70551492.8596212,70513040.9297448
196,69851943.9678682,69773475.1483417
197,69170179.7873883,69112060.9576684
198,69012390.9792259,68914501.9090285
199,70656520.4718247,70569445.169928
200,70348154.1221064,70253717.7508903
201,70454435.1440408,70363829.1615709
202,72118967.2995652,72058977.7308301
203,70832644.4017464,70720594.9250589
204,68956567.0871458,68859870.2313552
205,67913016.2452111,67853092.5918856
206,72240963.6750808,72174001.9325996
207,69279376.4473319,69181009.4898982
208,68868562.4596495,68815139.5276963
209,70231372.5229689,70181532.6008404
210,69116396.8118634,69054526.163107
211,70401206.5456655,70345913.4221688
212,69224713.3449038,69159704.2074294
213,70385675.8364837,70332322.016846
214,69003058.0122322,68931279.7915538
215,69873587.3145794,69785971.2597641
216,70836350.4549657,70786707.7462926
217,70430129.5966095,70341501.0575186
218,68440314.7461182,68373238.2527194
219,71153152.3718772,71077530.8354761
220,70713268.0815211,70642615.9717623
221,68684918.3150992,68563880.3732881
222,68344407.2799645,68305210.4769348
223,69109282.9597794,69002364.6443404
224,70615693.4803672,70559889.2684387
225,68924870.7300483,68846656.5911876
226,67683863.4682212,67599674.309426
227,70755522.5158726,70676306.1782127
228,70384356.4558799,70309369.8948072
229,70367868.6219483,70297057.9640963
230,69437971.4964493,69370759.5026438
231,68423696.7929284,68319505.9365777
232,68429710.6377622,68401674.9831256
233,70281495.8760083,70235896.3565895
234,70568826.3509997,70488634.1401063
235,71086836.8862083,71027147.8204492
236,68404733.9377343,68310058.8669897
237,69951552.3487077,69884108.0576684
238,70551405.2940566,70482370.4427222
239,69723049.7059977,69705405.1911752
240,70572820.7923996,70485433.7370441
241,68047443.3194675,67950684.6618599
242,69964687.1514096,69924946.7822734
243,72089815.4572388,72001565.1960386
244,68700235.3854269,68605974.8652988
245,69825800.7450723,69789136.2835093
246,72093415.1373999,72017937.8265079
247,71782155.1007994,71683596.8332204
248,67807669.02502,67771933.3899157
249,69182665.0922142,69128549.4460821
250,69319143.876539,69268460.0411438
251,69231780.0214653,69173078.1091372
252,67918051.0605714,67797000.9275105
253,69132464.0962826,69030884.780742
254,69750295.0624946,69668456.4171157
255,70180482.2139167,70044755.1387697
256,68279869.6225571,68216124.4895091
257,70987634.770683,70945314.503878
258,68909844.5655221,68835769.510031
259,68869411.6434264,68794319.8470044
260,68934888.905542,68847600.3248959
261,68980041.6978743,68902628.5719205
262,69734078.2319574,69696779.2316296
263,70642651.2298125,70575687.4525033
264,70088353.4878891,70038269.3834222
265,70428088.3478242,70341064.9517261
266,69346208.0151992,69308795.9147425
267,68643449.049045,68557962.1638468
268,68074949.5218475,68012098.930623
269,71772749.7742083,71684752.7954008
270,68439672.9783043,68346705.6480137
271,69175748.6271488,69103564.0504494
272,68559583.797708,68473932.0709189
273,70119741.0262808,70063812.424341
274,69622736.4805427,69540485.8667971
275,69288420.4146846,69218125.2470889
276,70784430.6480218,70714439.1803434
277,68571276.678161,68460360.5776798
278,68865899.644819,68748209.5050539
279,70214600.7831509,70139760.7745865
280,70678782.6457839,70583800.1749933
281,66987143.5872272,66927736.6418252
282,70426387.5714418,70351901.1570822
283,67778523.3683656,67719007.8797144
284,69437990.9052694,69388550.5866245
285,68732797.9916357,68636690.1100841
286,67774379.6216936,67702404.1500576
287,71249575.0820695,71206872.0430502
288,70393370.9150724,70273340.5196309
289,68430670.0052711,68347825.3807047
290,69204887.5327769,69147682.5998463
291,71326740.6715033,71279185.2402806
292,68256804.2516994,68163017.4297325
293,68850939.1640294,68742176.4074551
294,70252524.0478449,70173375.0709654
295,70862645.048209,70814496.2961042
296,69813667.7093238,69760785.6314063
297,69893844.5698308,69855386.2231269
298,69124170.5259199,69062482.2177727
299,72191473.7316609,72119850.9212429
300,69945574.7266198,69815860.1261665
301,70938117.4499317,70858708.9039497
302,72399705.2637819,72327633.9367521
303,69031545.2551474,68963959.9678091
304,69419546.0912878,69375808.3672466
305,69549839.603298,69472467.0241399
306,70754658.2816816,70633853.0042777
307,71411907.0147864,71333084.2228048
308,71277003.3457743,71250205.3632893
309,71419671.5114559,71357555.8915832
310,71435130.6275785,71392396.1597316
311,67711167.0285316,67624701.2636617
312,71307085.3151294,71225332.3839143
313,69683743.2000061,69659071.3927862
314,70472016.2444059,70417582.7272988
315,69185202.7937531,69115916.1776956
316,69805331.480493,69721618.5361809
317,69411483.3096553,69327369.1363856
318,68769537.8364153,68703587.108449
319,67999124.1433054,67962341.1413761
320,70457615.9795858,70396724.3411094
321,70042349.3377171,69988532.8440071
322,68378596.6888095,68310013.2615315
323,69154652.5241817,69066828.9018552
324,69938035.9315391,69901323.2049986
325,69637338.7084604,69546569.8221574
326,66389355.1492406,66308540.2336304
327,68721354.7367436,68678457.3571
328,69742074.3567205,69644832.5876931
329,70050697.8576907,70014155.4610048
330,69693672.4866967,69616941.77023
331,68168003.1514336,68112055.062063
332,67773293.5227642,67705982.9059481
333,70037810.6142564,69988192.6636381
334,68549671.9812746,68500191.1527039
335,66864251.2807604,66767079.5397266
336,68788586.2723885,68679533.3701203
337,68002542.5635065,67933041.7395237
338,70122076.01013,70046863.2396417
339,71796245.1631007,71752320.3298718
340,70464880.7776076,70423767.4946298
341,69537952.7490833,69481527.8261212
342,70165379.4511992,70092696.8435099
343,70624253.8219898,70542021.1939826
344,69813572.1362595,69764140.0147801
345,71160063.5956431,71096449.5202043
346,69214656.7832144,69168049.1508223
347,69576024.851728,69519076.8216317
348,70505142.3576562,70437934.708148
349,69551990.8837035,69437829.0531604
350,69365302.880952,69289426.6204567
351,67868901.6951799,67801101.5652243
352,68793729.9287617,68741806.4101367
353,68816748.5629355,68745205.2068673
354,69920968.7589751,69874088.3869527
355,68486659.8205596,68420168.9937794
356,68802661.8329408,68730588.8225273
357,67695515.2151428,67624561.5504767
358,70362268.253376,70300194.4814689
359,69533777.3829555,69478095.6877582
360,68562158.364048,68459155.6017886
361,70405087.9325504,70343136.2076818
362,69474041.8802562,69398519.681105
363,70441110.0113874,70380348.3793163
364,70060187.8271451,69994168.1645132
365,71425322.508112,71353247.7860375
366,69657666.3264616,69623488.8420253
367,70461881.9413354,70387794.0352214
368,69610712.9964009,69533214.7929655
369,66918441.9181228,66812972.7147839
370,70396115.5180315,70335640.0043779
371,70286329.6367628,70219555.9908892
372,69640548.3644914,69529913.0660505
373,66149616.695885,66083250.7363517
374,70228423.2680336,70180551.2135603
375,71511800.3610011,71465743.0231374
376,69543174.2243011,69421505.2360189
377,69815900.7923804,69741807.6589389
378,69799976.3161714,69728891.3164307
379,67445487.5781545,67367194.644794
380,71581714.3279894,71481786.8210006
381,70359072.6656501,70281610.0389711
382,69660991.6991749,69597685.7546697
383,68663584.1683564,68603310.7525981
384,69985272.2114029,69911847.6669158
385,69712928.3633666,69619498.5007221
386,70094886.6515964,70003493.6223515
387,71203479.0982787,71139467.5289083
388,69670154.8453122,69611412.5618531
389,68579659.1175098,68527995.3038866
390,71587422.2252645,71513820.2519089
391,68423671.8701164,68356004.8730859
392,70587484.7729985,70491636.5375714
393,71165039.0695569,71145636.4827805
394,69008445.8065519,68975632.8127841
395,68630308.2301963,68569331.2874724
396,68396428.1221077,68298535.0328008
397,66995383.1733443,66926547.6727235
398,68095982.6568695,68017923.6452025
399,68992845.0473977,68965122.6968662
400,66754789.2041603,66693720.564283
401,67016070.9224583,66928854.0722711
402,69295910.1384056,69242870.2287144
403,69508094.4587459,69448565.1433893
404,68599689.9005479,68536376.2590725
405,70966952.5684433,70890506.9758955
406,68940050.5823062,68881172.4104113
407,70840260.7112558,70785830.6321425
408,69238353.5612419,69174270.4292291
409,70643384.2439536,70567280.4406324
410,67702261.5062232,67629037.3310056
411,71095102.7146981,71040896.359127
412,69659649.4976577,69595736.596362
413,69817827.9174483,69763214.9762614
414,66607511.5679517,66520588.5418663
415,68826507.9825374,68728679.0928957
416,70057278.894302,69988327.562061
417,69508630.5349194,69459419.9617966
418,69889339.1739539,69836931.7658834
419,70664576.3046763,70618300.0494731
420,69936880.8543759,69861234.106321
421,70036393.3615397,69967586.2560184
422,69029101.2949635,68983884.4059184
423,71316591.6751268,71269747.1457512
424,69178463.9762718,69122834.5517977
425,69177993.1699118,69161749.4881355
426,69012559.8909515,68916956.8763629
427,69212824.2788781,69124057.0147927
428,70433435.0481393,70382935.6563202
429,69147760.7901406,69088125.0226271
430,70407900.9500357,70332701.4705965
431,69455489.2454779,69381845.1436608
432,70913735.1423123,70887524.2067931
433,70330989.7271139,70230399.0186526
434,69671558.4244952,69611946.1827375
435,70190661.6196073,70104805.9889077
436,70856239.0210949,70792003.756311
437,70593649.8290535,70510626.9955892
438,70471873.8857695,70382989.9103399
439,69680655.2688992,69603430.5116628
440,68398647.0070829,68343873.2494272
441,69798424.7939934,69722122.8717642
442,70334535.9901841,70264941.5007988
443,69733175.0436827,69674118.4526261
444,69007027.1109391,68930272.2980776
445,67403548.5011597,67303282.5654955
446,69931353.3247194,69861013.3935768
447,68149318.2965631,68085240.6336464
448,66754832.2023054,66638921.5323726
449,69171750.6659609,69092622.6967289
450,68494784.2086844,68407924.5731871
451,68502952.0502363,68409279.110683
452,69469598.9296702,69402159.9532884
453,69730573.5147309,69632597.3393918
454,69710744.4328307,69598717.8208983
455,68530575.0176997,68457260.0618829
456,70076263.7592554,70017335.806997
457,67764910.838371,67672703.1456825
458,68642635.68387,68585161.8758118
459,69069784.8133503,69013958.8218493
460,68194843.8560196,68148636.6137135
461,70106704.3713135,70021029.0853959
462,70503559.7293376,70433781.0792829
463,67982707.2970533,67898581.680716
464,72241880.0108195,72164703.5326457
465,69432474.6171366,69394535.6128594
466,70319725.95544,70217299.32626
467,71245806.2462001,71200224.6239771
468,71341336.6630036,71272109.3627264
469,69613876.8498833,69564205.8179873
470,68337661.1540554,68277587.7856195
471,71415569.2909095,71389698.1551129
472,68926461.8807079,68843014.9321365
473,69719908.9998368,69646012.8275391
474,69597955.5108615,69496850.9699494
475,66630461.6245342,66554141.82914
476,68999418.7551091,68948957.5140963
477,69869515.9075225,69777439.3574096
478,70099841.7263721,70008290.5755368
479,70956113.5805249,70888057.481413
480,69158616.1766657,69050717.2489581
481,67791734.2878617,67697179.8197937
482,69730300.1844382,69612703.1514899
483,69576356.6498279,69488817.3433375
484,70343650.0711295,70271442.5560242
485,68895810.2909058,68808482.601187
486,69658210.2627575,69603764.7656547
487,68802725.3201978,68707991.2669868
488,67346111.3606614,67303030.1147077
489,70954440.5358735,70865209.8204592
490,68721822.7078295,68623728.3469894
491,70237994.3252813,70146940.6855845
492,70339812.0891002,70236114.7925404
493,69009332.097862,68928493.5988745
494,69888993.7388431,69798450.7065862
495,69912580.9150902,69881821.2830898
496,67337991.7977636,67277524.9126552
497,69263505.2450952,69150054.7536075
498,68719944.9779826,68666942.5701522
499,68809160.1677327,68744723.9121228
500,68209869.3616404,68140636.591742
501,69770683.4675917,69698718.6422323
502,70891375.6116567,70823263.9610357
503,71062511.6515503,70973177.0812175
504,70557682.1496658,70505622.3801758
505,71574190.7277973,71520143.8181404
506,70081488.2393815,69994666.6550328
507,70604089.0694828,70533115.9362987
508,70741585.9120243,70633566.0204485
509,68301009.8718724,68202870.834544
510,68413350.5599156,68354389.9012863
511,71540864.8516308,71429290.8669604
512,69980755.6627305,69908397.7766571
513,68381424.4820435,68317201.8679056
514,69589942.8377904,69515378.6411633
515,68079546.3338327,68007335.2107387
516,70297635.4120532,70211615.3698414
517,66998593.0127548,66931249.6380276
518,71314733.2927217,71230534.0104966
519,69197418.7535031,69129472.9440132
520,70268289.0923534,70202579.9428884
521,70797939.9084745,70705186.3979875
522,70590937.4458992,70513552.9033277
523,68576932.6951983,68503235.8459157
524,68671335.654298,68557000.6632132
525,68597791.6170586,68507733.2331029
526,70072041.7215486,70023295.089576
527,70144178.7030049,70056222.5875429
528,70364924.9316285,70319907.4994992
529,69382408.1802093,69275440.7397991
530,68230635.8064956,68137535.4425555
531,68387795.7793817,68274834.2860971
532,70035813.9304667,69914558.7761069
533,71077126.085535,70985897.3122083
534,68987791.2348561,68919421.9452329
535,70267078.0890244,70185255.811723
536,69477120.8160767,69366221.4861551
537,70649457.1754429,70569177.828556
538,71655170.6049112,71606007.9895244
539,69464350.2193524,69398846.7757962
540,71038830.8230771,70969275.7272139
541,68560161.3233853,68481283.6785623
542,69983455.7683355,69921484.0745035
543,66631162.8564685,66562155.6999356
544,71193509.4637041,71128950.6773949
545,69430302.1889773,69349874.7362629
546,68967829.3229439,68926996.8692166
547,69687289.2374107,69600648.7386802
548,69637027.622474,69566209.9379422
549,69765349.5315907,69716219.11187
550,68090585.5319925,67998832.5713222
551,69115638.9855893,69029719.6984763
552,69761420.4490795,69682786.1037508
553,70808406.0066054,70741867.5747234
554,69233759.924791,69128256.5612577
555,70740481.7952294,70644674.6419988
556,69501922.8528346,69386861.1588918
557,69667603.0190104,69610438.6094813
558,71607178.7904826,71576339.4861246
559,68808426.2493141,68719852.9370899
560,70866580.8320882,70790278.4179776
561,70243390.1967401,70155418.9712218
562,69242490.3298401,69146083.6018306
563,71222323.8298677,71172160.6035199
564,71065657.679314,70952992.5271077
565,70732696.0405296,70654322.7711639
566,71771434.456065,71685569.1768356
567,68942118.613211,68851063.9836174
568,66702621.5090562,66629885.8122776
569,70690614.7393172,70619931.0836188
570,69224275.1882253,69167756.7595851
571,69678858.3579461,69602001.7627691
572,68071052.5455402,68020751.0430993
573,70267255.9957097,70211187.0706411
574,70508678.8905144,70448171.9604535
575,66808616.6602294,66680600.0679412
576,68606606.8161407,68506768.7563687
577,69973234.2508766,69931285.0755583
578,66878164.0470513,66806257.3545971
579,71334183.9356447,71265803.5746838
580,69499778.935309,69434657.6721778
581,70626947.1371696,70580464.3399653
582,67855059.4880876,67802090.0675595
583,71529841.9963336,71462619.388616
584,70872995.423823,70815526.5374233
585,70855496.9607654,70804494.5729053
586,69349724.9194697,69276669.6943775
587,72032624.1155081,71946714.092589
588,69875976.5538438,69826004.3765397
589,68930314.6087153,68866718.1402353
590,69353449.997596,69268885.7961927
591,69877767.059377,69833182.2393573
592,70005327.2355466,69946563.8646774
593,71012953.5815181,70904819.6190405
594,69289300.089614,69200051.6954991
595,71961837.0767855,71880882.7254843
596,69503806.6526797,69425810.7057188
597,68845831.6885913,68746783.4245701
598,70062495.1450895,69966661.6938818
599,69923935.6631941,69838572.3228728
600,69575992.6365817,69520887.5962224
601,68331592.9199836,68288958.0505819
602,68427196.2068968,68345118.5673061
603,72046276.0872767,72000171.6957041
604,69472199.7087753,69443628.8319948
605,69473412.1645518,69425761.2636468
606,71249932.7413947,71212260.5968118
607,69195538.8399179,69115658.8271482
608,71724484.7924806,71677382.2266868
609,70646877.745076,70557908.118486
610,70295678.9902934,70208700.5321507
611,69218053.3823149,69138342.9193988
612,71092792.4587822,71051061.2944058
613,70050441.8257115,70007520.0485107
614,69499036.0707141,69410887.4201859
615,71120382.8725156,71044332.1636794
616,68795415.1953723,68733644.3147305
617,68391237.1111821,68320650.9349938
618,67749714.9004543,67678867.0231932
619,70274164.4651791,70217074.8462107
620,69449971.0524715,69363149.4221201
621,69927905.5543706,69903830.0779094
622,70515683.9786866,70451497.8311532
623,69082662.9707136,69031894.9039504
624,71748180.5961288,71653321.6088716
625,70186121.2832139,70116862.6677914
626,69669985.4922823,69598399.2916829
627,70632393.8362489,70554128.3087124
628,66785432.3124857,66686724.7829018
629,68000003.2782314,67906887.8517845
630,68872173.655809,68814403.5535932
631,69646300.6690313,69552852.7560679
632,69322722.3550302,69264757.2412558
633,67636318.383437,67516627.4501145
634,70142603.7553013,70064668.7584126
635,68558100.3826415,68517585.2845793
636,70372747.8671783,70291930.8266584
637,69209597.9203958,69086996.4475923
638,68517682.5655525,68456020.5933059
639,69660130.2072643,69564512.8587197
640,67492224.5262105,67400878.1584142
641,68474084.2001788,68347913.1040189
642,68916384.4738688,68865730.9081514
643,68231227.305592,68197706.9258526
644,70195898.1451982,70107168.1695946
645,70470227.218334,70395582.7753417
646,68752482.0478367,68677116.8524513
647,69683189.3235616,69623909.0823591
648,69804069.6739074,69748420.0856111
649,68704984.0037093,68621450.9194743
650,67857765.6136714,67773273.3582219
651,68291899.7725725,68212940.0380346
652,68707934.337655,68629918.3686059
653,69264745.4279243,69162165.0403804
654,69794370.5500074,69726884.2875076
655,69041019.7932197,68946494.9227027
656,68273045.9177144,68162344.6510854
657,67966549.6142352,67883570.3236648
658,70839919.809995,70792777.3639528
659,68774428.9491632,68637047.0633364
660,68685759.5974872,68670207.0055865
661,69342892.4437762,69239692.3415333
662,70211790.2077338,70122768.238708
663,71051087.6829064,70999458.9002587
664,69993463.3438889,69917354.9091419
665,68997168.5600417,68887479.297829
666,70870228.6184418,70809880.3451373
667,69291159.0916046,69204564.6796423
668,68817458.8354017,68715052.3677262
669,70790831.6283849,70719733.4656362
670,69480469.2456949,69328286.4411826
671,67793577.6979953,67721021.1424683
672,70004417.4008554,69927505.9056646
673,69297716.2907442,69204957.4901437
674,68851302.7053336,68766010.7814269
675,70004083.687429,69918723.762881
676,68496634.8998589,68410846.9331608
677,70769104.5632382,70707866.7873464
678,72267886.7795051,72243586.1080189
679,70001402.8203917,69915013.4956704
680,69667399.3108583,69612485.1443826
681,68742343.1118009,68651904.3690512
682,68435877.5688896,68352183.3175408
683,68682190.428145,68611276.2482975
684,69217001.1832632,69139080.444865
685,70430287.5462781,70317534.1591911
686,67362667.5085564,67289043.1655418
687,69266626.9571971,69168656.7438435
688,70123903.201881,70071170.146533
689,69474368.0695154,69415472.4012202
690,69281805.0985541,69230107.0609019
691,70046774.0147205,69992031.5910986
692,70344454.9751622,70313911.5285035
693,71001227.3209382,70961545.8131513
694,69375242.4146078,69300546.5724873
695,67442559.9468528,67380199.8985011
696,67809816.4169161,67731842.5896159
697,69295866.0223248,69235112.8812698
698,70475724.9204706,70382853.5373538
699,68619680.2143724,68557386.6293752
700,70980051.4463164,70885051.0462486
701,71655743.7560161,71598032.4593108
702,69373197.3715682,69293497.2606506
703,68638693.0194737,68563554.5539971
704,69090353.1699538,68995951.8787512
705,68462311.2506564,68375354.5829883
706,69087871.9009475,69052201.9925373
707,71424214.501419,71406215.4176263
708,68865232.3521586,68758972.035646
709,69210675.639974,69161062.1456436
710,68717990.3937194,68670388.1182089
711,68532356.1991617,68455463.3335857
712,70509801.9592825,70456991.5237156
713,70144967.3094576,70068283.6679326
714,69498021.7086198,69404021.8570777
715,69848823.022696,69750739.2040776
716,68481711.1926686,68375464.3349239
717,68327806.9977238,68236812.7814743
718,71711645.751441,71628173.515817
719,68909908.1751044,68853424.9832582
720,71206983.7861236,71158620.3084722
721,70719129.1511347,70648955.6497919
722,69162947.8539683,69118598.2937007
723,69998592.5183966,69947974.1562359
724,68568859.2024093,68488076.507864
725,70640325.0980209,70530663.7352761
726,68080190.0226483,68004928.0608523
727,70842281.9616039,70793582.2989456
728,71909467.4477271,71839627.9084969
729,69444346.0262145,69363499.1819614
730,71470185.4142975,71393130.0293312
731,71025701.285319,70964458.752647
732,69412444.2940591,69326662.9711586
733,70802587.7257499,70774655.4973187
734,70083618.2668258,69992926.1961478
735,68568959.7168816,68515967.9199641
736,69396110.2641781,69320480.3534602
737,67212912.8433048,67125869.7639329
738,68857188.4579129,68789878.9305347
739,70823254.051458,70763208.1707505
740,69826466.3646666,69746595.6122193
741,71732506.0127053,71641286.6638923
742,68798216.8304988,68725636.9380926
743,69318379.648547,69283876.8950213
744,70286292.8961645,70191206.2925002
745,68423434.5392429,68335324.7497805
746,71646340.2682035,71595665.8274557
747,69613221.8581986,69525660.0588407
748,69220040.7740506,69152506.2327264
749,69174792.8043023,69078794.9508765
750,67065648.8461246,66963950.713545
751,69153174.0422305,69091623.8912027
752,71449980.7560704,71362440.516529
753,71217111.7738133,71136372.0698264
754,69321798.0562348,69231980.4269709
755,69424039.7740717,69354337.625802
756,67847642.7226144,67747382.3455034
757,69466801.5328628,69367683.2062837
758,67149048.9474596,67087100.2933358
759,70379912.2416054,70279033.7892781
760,69132192.7440584,69053572.1054396
761,69458799.4481167,69407282.9384289
762,69682681.4278048,69608761.3126712
763,69254154.4267313,69175474.9904051
764,71035665.5984765,70995138.9393326
765,71334576.4138514,71275474.4133471
766,68570766.1897642,68505252.0171414
767,67999608.2558289,67912527.1314255
768,67936502.5197033,67841676.2132636
769,71323326.5799772,71199423.8024623
770,67733436.4833982,67647740.9837416
771,66441915.0238779,66365902.9303908
772,68929936.208556,68876968.3406218
773,71200045.966582,71129025.6774482
774,71583258.6107599,71519863.0010759
775,68579475.3615841,68510616.9092734
776,67772842.3811894,67748308.5438816
777,69938428.7399741,69860169.7199884
778,67018064.463706,66932287.4876118
779,70875326.0565948,70809897.3553043
780,70861114.571336,70802831.2893734
781,70410139.3712509,70337785.3489821
